vehicleid;stocktype;licenseplate;chassisnumber;registrationdate;makename;modelname;description;segment;segmento_mercato;segment_description;wltp_co2emission;fuel;alimentazione;alimentazione_fuel_code;transmission;external_color;internal_color;optional;prezzo_accessori;location;location_address;estimateddeliverydate;arrivaldate;comments;rating;showcasecode;showcase;catalogcode;catalog;data_listino;prezzo_listino;catalogfrom;datascadenzaopzione;stato_opzione1;stato_opzione2;neopatentati
40813957;Stock New;;;;KIA;PICANTO;KIA PICANTO 1.0 GDi AMT Urban Hatchback 5-door (Euro 6E);BBG;A;Mini - Hatchback/Sedan - Generic;134;Petrol (unleaded);Combustione;Petrol;AUT;Clear White (Solido);Kia Tex Essential - tessuto nero;Ruotino di scorta,Vernice Clear White;737,7;CLERICI AUTO SPA : Lurate Caccivio (CO);"Via Varesina 99
22075 Lurate Caccivio
CO Italy";19/08/2026;;;;403240;Stock Open;26AG6S6K5A1LDD1CJ;Old;16/12/2025;14262,3;16/12/2025;; ; ;SI
40814035;Stock New;;;;KIA;PICANTO;KIA PICANTO 1.0 GDi AMT Urban Hatchback 5-door (Euro 6E);BBG;A;Mini - Hatchback/Sedan - Generic;134;Petrol (unleaded);Combustione;Petrol;AUT;Adventurous Green (Metallizzato);Kia Tex Essential - tessuto nero;Ruotino di scorta,Vernice metallizzata;737,7;AUTOZATTI SRL : Brescello (RE);"Via Strada della Cisa 51/1
42040 Brescello
RE Italy";05/06/2026;;;;403240;Stock Open;26AG6S6K5A1LDD1CJ;Old;16/12/2025;14262,3;16/12/2025;; ; ;SI
40818602;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Grigio montagna metallizzato;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice metallizzata;1380;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";30/06/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;02/04/2026;OPZIONATO; ;SI
40818619;Stock New;;;;FIAT;500;FIAT 500 Hybrid Torino Hatchback 3-door (Euro 6E) ;BBG;A;Mini - Hatchback/Sedan - Generic;119;Unleaded - Electric;Altro;Petrol Mild Hybrid;MAN6;Onyx Black pastello;Tessuto pied-depoule nero e grigio;Vernice pastello Onyx Black;655,74;TRA.DE TRASPORTI E DEPOSITI S.R.L. : Patrica (FR);"Strada Provinciale Morolense km 10,700
03010 Patrica
FR Italy";22/06/2026;;;;403240;Stock Open;26A302.E14.0;Active;21/11/2025;16229,51;21/11/2025;03/04/2026;OPZIONATO; ;SI
40818626;Stock New;;;;FIAT;500;FIAT 500 Hybrid Torino Hatchback 3-door (Euro 6E) ;BBG;A;Mini - Hatchback/Sedan - Generic;119;Unleaded - Electric;Altro;Petrol Mild Hybrid;MAN6;Onyx Black pastello;Tessuto pied-depoule nero e grigio;Vernice pastello Onyx Black;655,74;TRA.DE TRASPORTI E DEPOSITI S.R.L. : Patrica (FR);"Strada Provinciale Morolense km 10,700
03010 Patrica
FR Italy";22/06/2026;;;;403240;Stock Open;26A302.E14.0;Active;21/11/2025;16229,51;21/11/2025;; ; ;SI
40818633;Stock New;;;;FIAT;500;FIAT 500 Hybrid Torino Hatchback 3-door (Euro 6E) ;BBG;A;Mini - Hatchback/Sedan - Generic;119;Unleaded - Electric;Altro;Petrol Mild Hybrid;MAN6;Onyx Black pastello;Tessuto pied-depoule nero e grigio;Vernice pastello Onyx Black;655,74;TRA.DE TRASPORTI E DEPOSITI S.R.L. : Patrica (FR);"Strada Provinciale Morolense km 10,700
03010 Patrica
FR Italy";22/06/2026;;;;403240;Stock Open;26A302.E14.0;Active;21/11/2025;16229,51;21/11/2025;; ; ;SI
40818660;Stock New;;;;FIAT;500;FIAT 500 Hybrid Torino Hatchback 3-door (Euro 6E) ;BBG;A;Mini - Hatchback/Sedan - Generic;119;Unleaded - Electric;Altro;Petrol Mild Hybrid;MAN6;Ice White pastello;Tessuto pied-depoule nero e grigio;Vernice pastello Ice White;655,74;TRA.DE TRASPORTI E DEPOSITI S.R.L. : Patrica (FR);"Strada Provinciale Morolense km 10,700
03010 Patrica
FR Italy";22/06/2026;;;;403240;Stock Open;26A302.E14.0;Active;21/11/2025;16229,51;21/11/2025;; ; ;SI
40818748;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Grigio montagna metallizzato;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice metallizzata;1380;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";30/06/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;30/03/2026;OPZIONATO;OPZIONATO;SI
40818763;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Grigio montagna metallizzato;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice metallizzata;1380;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";26/06/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;; ; ;SI
40818770;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Nero cosmo metallizzato;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice metallizzata;1380;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";24/06/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;02/04/2026;OPZIONATO; ;SI
40818783;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Nero cosmo metallizzato;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice metallizzata;1380;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";26/06/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;; ; ;SI
40818785;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Nero cosmo metallizzato;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice metallizzata;1380;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";24/06/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;; ; ;SI
40818786;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Nero cosmo metallizzato;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice metallizzata;1380;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";29/06/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;; ; ;SI
40818796;Stock New;;;;MERCEDES-BENZ;CLASSE A;MERCEDES-BENZ CLASSE A A 180 d Business Extra Hatchback 5-door (Euro 6E) ;DBP;C;Compact - Hatchback/Sedan - Premium;133;Diesel;Combustione;Diesel;AUT8;Bianco Polare pastello;ARTICO/tessuto nero;Cristalli laterali posteriori e lunotto oscurati,Display completamente digitale sulla plancia,Vernice pastello;980;MERCEDES BENZ ITALIA SPA : Roma (RM);"Via Giulio Vincenzo Bona 110
00156 Roma
RM Italy";01/07/2026;;;;403240;Stock Open;2617701010-IT6+IT6;Active;04/12/2025;29850;04/12/2025;; ; ;SI
40447540;Stock New;HB458PL;WVGZZZCT8TW517096;10/11/2025;VOLKSWAGEN;TIGUAN;VOLKSWAGEN TIGUAN 2.0 TDI 110KW SCR Edition Plus DSG Sport utility vehicle 5-door (Euro 6E) ;DSG;C-Suv;;151;Diesel;Combustione;Diesel;AUT7;Dolomite Silver Metall.;Tessuto Life grey Melange Soul;Ruota di scorta di dimensioni ridotte con attrezzi di bordo e martinetto;94,26;TORRI S.R.L. SOCIETA' UNIPERSONALE : Decimomannu (CA);"ss 130 dir km2 snc
09033 Decimomannu
CA Italy";08/04/2026;;;;403240;Stock Open;25ACT134Z W01;Old;17/10/2024;36120,26;17/10/2024;30/03/2026;OPZIONATO;OPZIONATO;NO
40745683;Stock New;;;;OPEL;MOVANO;OPEL MOVANO 2.2 BlueHDi 140 S&S 35 L2H2 Furgone 4-door (Euro 6E) ;Z;Utility C;Van Extra-Large;239;Diesel;Combustione;Diesel;MAN6;Bianco Icy pastello;"Tessuto ""Crepe"" nero";"EASY DRIVING,NEW PACK CARGO L2-L3,PACK TECHNO 7"",Paratia vano di carico con oblò vetrato,Telecamera posteriore";1900;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";12/06/2026;;;;403240;Stock Open;252GXE3KHOKKB0A013;Old;22/07/2025;36000;22/07/2025;; ; ;ND
40745684;Stock New;;;;OPEL;MOVANO;OPEL MOVANO 2.2 BlueHDi 140 S&S 35 L2H2 Furgone 4-door (Euro 6E) ;Z;Utility C;Van Extra-Large;239;Diesel;Combustione;Diesel;MAN6;Bianco Icy pastello;"Tessuto ""Crepe"" nero";"EASY DRIVING,NEW PACK CARGO L2-L3,PACK TECHNO 7"",Paratia vano di carico con oblò vetrato,Telecamera posteriore";1900;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";12/06/2026;;;;403240;Stock Open;252GXE3KHOKKB0A013;Old;22/07/2025;36000;22/07/2025;; ; ;ND
40745685;Stock New;;;;OPEL;MOVANO;OPEL MOVANO 2.2 BlueHDi 140 S&S 35 L2H2 Furgone 4-door (Euro 6E) ;Z;Utility C;Van Extra-Large;239;Diesel;Combustione;Diesel;MAN6;Bianco Icy pastello;"Tessuto ""Crepe"" nero";"EASY DRIVING,NEW PACK CARGO L2-L3,PACK TECHNO 7"",Paratia vano di carico con oblò vetrato,Telecamera posteriore";1900;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";12/06/2026;;;;403240;Stock Open;252GXE3KHOKKB0A013;Old;22/07/2025;36000;22/07/2025;; ; ;ND
40745691;Stock New;HD801BK;VXEYCF6F4SMB51690;27/02/2026;OPEL;MOVANO;OPEL MOVANO 2.2 BlueHDi 140 S&S 35 L2H2 Furgone 4-door (Euro 6E) ;Z;Utility C;Van Extra-Large;239;Diesel;Combustione;Diesel;MAN6;Bianco Icy pastello;"Tessuto ""Crepe"" nero";"EASY DRIVING,NEW PACK CARGO L2-L3,PACK TECHNO 7"",Paratia vano di carico con oblò vetrato,Telecamera posteriore";1900;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";13/04/2026;02/03/2026;;;403240;Stock Open;252GXE3KHOKKB0A013;Old;22/07/2025;36000;22/07/2025;30/03/2026;OPZIONATO; ;ND
40749615;Stock New;HA563WN;WBA31EG0205446535;17/09/2025;BMW;X1;BMW X1 sDrive 20d DCT Sport utility vehicle 5-door (Euro 6E) ;DSP;C-Suv;Compact - Suv/Cross Over - Premium;133;Diesel - Electric;Altro;Diesel Mild Hybrid;AUT7;Mineral White metallizzato;Interni in stoffa Arktur Antracite;Driving Assistant Plus - Active Cruise Control,Premium Package,Vernice metallizzata;3073,77;DE CLEMENTI CAR SERVICE SRL : Roma (RM);"Via Tiberina 210
00188 Roma
RM Italy";06/04/2026;24/03/2026;fast and clear;;403240;Stock Open;25A31EG;Old;01/04/2025;37516,39;01/04/2025;; ; ;NO
40758427;Stock New;HB892TY;WVWZZZCD4TW403304;25/11/2025;VOLKSWAGEN;GOLF;VOLKSWAGEN GOLF 1.5 TSI eHybrid Edition Plus DSG Hatchback 5-door (Euro 6E) ;DBG;C;Compact - Hatchback/Sedan - Generic;25;Unleaded - Electric;Ibrido Plug-in;Petrol Plug-In;AUT6;Dolphin Grey Metall.;Tessuto Life nero;;0;Autolife2.0 Srl : Lamezia Terme (CZ);"via dei bizantini 242
88046 Lamezia Terme
CZ Italy";06/04/2026;;;;403240;Stock Open;26ADA13HY W20;Active;11/12/2025;34931,74;11/12/2025;30/03/2026;OPZIONATO;OPZIONATO;NO
40761284;Stock New;HB861VD;VR3FBYHZ3SY583818;28/11/2025;PEUGEOT;308;PEUGEOT 308 Style BlueHDi 130 EAT8 S&S Hatchback 5-door (Euro 6E) ;DBG;C;Compact - Hatchback/Sedan - Generic;128;Diesel;Combustione;Diesel;AUT8;Grigio Artense metallizzato;Tessuto Renzo Baladin;Kit riparazione pneumatici,Tinte metallizzata;590,16;GRUPPO MERCURIO Spa  : Torrile (PR);"Via Romagnoli 25
43056 Torrile
PR Italy";13/03/2026;05/12/2025;;;403240;Stock Open;24A1PP5A5LP41B02PE4;Old;01/07/2025;26860,66;01/07/2025;30/03/2026;OPZIONATO; ;SI
40763574;Stock New;HC031AX;WAUZZZFN6TN013618;19/12/2025;AUDI;A6 AVANT;AUDI A6 AVANT TDI 150 kW S tronic Business SW 5-door (Euro 6E) ;MWP;E;Higher Middle - Station Wagon - Premium;132;Diesel - Electric;Altro;Diesel Mild Hybrid;AUT7;Nero Mythos metallizzato;Tessuto Passage nero (sedili normali);Colori carrozzeria metallizzati,Vetri oscurati per lunotto, cristalli delle portiere posteriori posteriori;1520,65;VIDERE SRL : Bologna (BO);"VIA DELL'OSPEDALETTO 6
40100 Bologna
BO Italy";17/03/2026;19/02/2026;Attenzione mezzo pronto per essere immatricolato;;403240;Stock Open;26AFN5AUG;Ad hoc;04/12/2025;56014,55;04/12/2025;; ; ;NO
40763575;Stock New;HC025AX;WAUZZZFN5TN015893;19/12/2025;AUDI;A6 AVANT;AUDI A6 AVANT e-hybrid quat 220kW S tron Business SW 5-door (Euro 6E) ;MWP;E;Higher Middle - Station Wagon - Premium;65;Unleaded - Electric;Ibrido Plug-in;Petrol Plug-In;AUT7;Grigio Chronos metallizzato;Tessuto Passage nero (sedili normali o sportivi);Colori carrozzeria metallizzati,Vetri oscurati per lunotto, cristalli delle portiere posteriori posteriori;1520,65;VIDERE SRL : Bologna (BO);"VIA DELL'OSPEDALETTO 6
40100 Bologna
BO Italy";17/03/2026;19/02/2026;Attenzione mezzo pronto per essere immatricolato;;403240;Stock Open;26AFN5A1Y;Ad hoc;04/12/2025;60727,66;04/12/2025;; ; ;NO
40802394;Stock New;;TMBJJ8NX0TY072988;;SKODA;OCTAVIA WAGON;SKODA OCTAVIA WAGON 2.0 TDI 110KW EXECUTIVE DSG SW 5-door (Euro 6E) ;DWG;C;Compact - Station Wagon - Generic;122;Diesel;Combustione;Diesel;AUT7;Nero tulipano perlato;LOFT - Tessuto Grigio;Colore perlato;631,15;BONALDI MOTORI SPA : Bergamo (BG);"Via Quinto Alpini 8
24100 Bergamo
BG Italy";06/04/2026;25/02/2026;;;403240;Stock Open;26APV5D7D WI4;Active;03/02/2026;31530,09;03/02/2026;; ; ;NO
40802397;Stock New;;TMBJJ8NX7TY067027;;SKODA;OCTAVIA WAGON;SKODA OCTAVIA WAGON 2.0 TDI 110KW EXECUTIVE DSG SW 5-door (Euro 6E) ;DWG;C;Compact - Station Wagon - Generic;122;Diesel;Combustione;Diesel;AUT7;Bianco luna metallizzato;LOFT - Tessuto Grigio;Colore metallizzato;631,15;BONALDI MOTORI SPA : Bergamo (BG);"Via Quinto Alpini 8
24100 Bergamo
BG Italy";11/05/2026;24/02/2026;;;403240;Stock Open;26APV5D7D WI4;Active;03/02/2026;31530,09;03/02/2026;; ; ;NO
40802399;Stock New;;TMBJJ8NX1TY073051;;SKODA;OCTAVIA WAGON;SKODA OCTAVIA WAGON 2.0 TDI 110KW EXECUTIVE DSG SW 5-door (Euro 6E) ;DWG;C;Compact - Station Wagon - Generic;122;Diesel;Combustione;Diesel;AUT7;Bianco luna metallizzato;LOFT - Tessuto Grigio;Colore metallizzato;631,15;BONALDI MOTORI SPA : Bergamo (BG);"Via Quinto Alpini 8
24100 Bergamo
BG Italy";06/04/2026;25/02/2026;;;403240;Stock Open;26APV5D7D WI4;Active;03/02/2026;31530,09;03/02/2026;; ; ;NO
40802459;Stock New;;;;SKODA;KODIAQ;SKODA KODIAQ 2.0 TDI Executive DSG 5posti Sport utility vehicle 5-door (Euro 6E) ;FSG;D-Suv;Middle - Suv/Cross Over - Generic;139;Diesel;Combustione;Diesel;AUT7;Grigio Graphite metallizzato;Loft - tessuto grigio-nero;;;AUTOVEGA S.R.L. : Arzignano (VI);"Via V. Bottego 20
36071 Arzignano
VI Italy";20/05/2026;;;;403240;Stock Open;26APS7D4D WWI;Active;16/10/2025;37718,62;16/10/2025;30/03/2026;OPZIONATO; ;NO
40802604;Stock New;;LVUGTB220TDE54081;;JAECOO;5;JAECOO 5 1.6 TGDI 7DCT Exclusive Sport utility vehicle 5-door (Euro 6E) ;DSG;C-Suv;Compact - Suv/Cross Over - Generic;159;Petrol (unleaded);Combustione;Petrol;AUT7;Phantom GRAY;Interni Premium In Eco-pelle Neri;Vernice metallizzata;491,8;OMODA&JAECOO AUTOMOTIVE ITALY S.R.L. : Milano (MI);"Via Bisceglie 95
20100 Milano
MI Italy";10/04/2026;29/12/2025;4VANTAGE;;403240;Stock Open;25A;Active;01/03/2026;24434,43;01/03/2026;30/03/2026;OPZIONATO;OPZIONATO;NO
40803533;Stock New;;;;LYNK & CO;1;LYNK & CO 01 01 1.5 206KW PHEV CORE DCT Sport utility vehicle 5-door (Euro 6E) ;DSG;C-Suv;Compact - Suv/Cross Over - Generic;20;Unleaded - Electric;Ibrido Plug-in;Petrol Plug-In;AUT;Mineral Green (metallic);Black Econyl (+yellow accents);;;;;;;.;;403240;Stock Open;25A;Active;30/10/2024;33602,46;30/10/2024;; ; ;SI
40803598;Stock New;;;;LYNK & CO;1;LYNK & CO 01 01 1.5 206KW PHEV CORE DCT Sport utility vehicle 5-door (Euro 6E) ;DSG;C-Suv;Compact - Suv/Cross Over - Generic;20;Unleaded - Electric;Ibrido Plug-in;Petrol Plug-In;AUT;Crystal White (metallic);Black Econyl (+yellow accents);;;LYNK & CO SALES ITALY S.R.L. : Milano (MI);"Viale Monza 347
20126 Milano
MI Italy";25/06/2026;;;;403240;Stock Open;25A;Active;30/10/2024;33602,46;30/10/2024;30/03/2026;OPZIONATO;OPZIONATO;SI
40803854;Stock New;;;;JEEP;AVENGER;JEEP AVENGER 1.2 MHEV e-Hybrid Turbo Longitude Sport utility vehicle 5-door (Euro 6E) ;CSP;B-Suv;Small - Suv/Cross Over - Premium;111;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Granite metallizzato;Selleria in tessuto nero;Kit Fix & Go,Vernice metallizzata Granite;762,29;C.A.R. CONCESSIONARIA AUTO RICAMBI SRL : Bologna (BO);"V.le Pietro Pietramellara 4
40131 Bologna
BO Italy";17/06/2026;;4VANTAGE;;403240;Stock Open;25A619.M2K.2;Active;24/03/2026;21516,39;24/03/2026;; ; ;SI
40803873;Stock New;;;;JEEP;AVENGER;JEEP AVENGER 1.2 MHEV e-Hybrid Turbo Longitude Sport utility vehicle 5-door (Euro 6E) ;CSP;B-Suv;Small - Suv/Cross Over - Premium;111;Unleaded - Electric;Altro;Petrol Mild Hybrid;AUT6;Storm metallizzato;Selleria in tessuto nero;Kit Fix & Go,Vernice metallizzata Storm;639,34;C.A.R. CONCESSIONARIA AUTO RICAMBI SRL : Bologna (BO);"V.le Pietro Pietramellara 4
40131 Bologna
BO Italy";17/06/2026;;4VANTAGE;;403240;Stock Open;25A619.M2K.2;Active;24/03/2026;21516,39;24/03/2026;01/04/2026;OPZIONATO; ;SI
